ID,Hashes,Algorithms,VirusTotal,,,,Basic Properties,,,,History,,,,,"Names (top 3 names only, null if < 3 names)",,,
,,,Detection (sample: 4/69),Hash-MD5,Hash-SHA1,Hash-SHA256,File Type,Magic,Creation Time,Signature Date,First Seen in the Wild,First Submission,Last Submission,Last Analysis,Name1,Name2,Name3,Verdict (Benign or Malicious)
1,﻿bfb8861c57f4bb54628020ff0e95f7d000579f8c3a323bd1d3e6e4a872f3d245,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
2,bfcf16b61252cc02fa2b336953c471cf,MD5,62/81,bfcf16b61252cc02fa2b336953c471cf,736aacda3a3c45f81d8c569c4874e8ce012aae9e,eb2872f8fda5c670a3eb885e34419bb937e7dc9c5cbde9c4536db942d88fd8bb,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2082-04-30 15:08:32,N/A,2024-06-17 12:28:03,2024-06-08 04:41:00,2024-06-19 02:33:57,2025-02-23 04:01:20,Hebpra.exe,eb2872f8fda5c670a3eb885e34419bb937e7dc9c5cbde9c4536db942d88fd8bb.exe,MT Sea Gull 9 Particulars.exe,Malicious
3,bfd212e78b058423da320592dd78766e41462ffa410010cce99d6c31f7c25bde,SHA256,0/76,f50982f72c0a35632208e54abaa7980b,2f71faee21d63d8c90672eee04a7679f46c49fb2,bfd212e78b058423da320592dd78766e41462ffa410010cce99d6c31f7c25bde,Win32 EXE,"PE32+ executable (GUI) x86-64, for MS Windows",1970-01-01 18:12:16,N/A,2017-06-30 13:48:41,2017-05-11 11:27:00,2024-11-27 05:18:01,2024-11-27 05:18:01,maze,maze.exe,bfd212e78b058423da320592dd78766e41462ffa410010cce99d6c31f7c25bde.exe,Benign
4,bfda02cee73c9bf1a2e671ee9278229f,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
5,bfedc562d7b27c36737a37b10e9a0c3840e7ce4f,SHA1,2/77,88b500aed34c88c0cef375de279aa2c2,bfedc562d7b27c36737a37b10e9a0c3840e7ce4f,24bc4840a7c6a4a9c12c5a47a003154825bfbb3f8361ecd5b392c41ea6d29793,ZIP,"Zip archive data, at least v1.0 to extract, compression method=store",N/A,N/A,N/A,2015-03-25 16:59:05,2024-10-17 01:12:26,2024-10-17 01:12:26,SpazBot2.12_June2007.zip,VirusShare_88b500aed34c88c0cef375de279aa2c2,aa,Malicious
6,c011f6c319646b50b3c57c2724bd5bb5,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
7,c0128ec6c972b76bae9fcb1db5a69d8a,MD5,53/76,c0128ec6c972b76bae9fcb1db5a69d8a,f1920c94895900185222f09af6cf4d049e0dbbd1,acc0158aedaf32ddb31cca64d78e8c1feb303965d00d2f023206b63f2e9238cd,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2024-06-15 09:03:33,N/A,2024-06-15 10:01:58,2024-06-15 09:25:10,2024-06-16 13:11:41,2025-02-13 22:01:37,acc0158aedaf32ddb31cca64d78e8c1feb303965d00d2f023206b63f2e9238cd.exe,random.exe,null,Malicious
8,c04f6d303bbbc99eaa03235adaecd41438450f04,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
9,c04fb04ec97ed7f908f2710bd3344384,MD5,58/76,c04fb04ec97ed7f908f2710bd3344384,3ea8e3dd3715ce0af736327bac00515adf0e820c,ecec0cf3a79928b39ebaedccd677cf4a168441801c99cf5d9ee333cf1a161d2f,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2023-05-22 03:49:10,N/A,2024-06-15 14:01:45,2024-06-15 12:46:11,2024-06-20 09:14:44,2025-01-29 16:01:00,ecec0cf3a79928b39ebaedccd677cf4a168441801c99cf5d9ee333cf1a161d2f.exe,null,null,Malicious
10,c05f6a42138916bb21d29242836a77a48a326fb4,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
