ID,Hashes,Algorithms,VirusTotal,,,,Basic Properties,,,,History,,,,,"Names (top 3 names only, null if < 3 names)",,
,,,Detection (sample: 4/69),Hash-MD5,Hash-SHA1,Hash-SHA256,File Type,Magic,Creation Time,Signature Date,First Seen in the Wild,First Submission,Last Submission,Last Analysis,Name1,Name2,Name3,Verdict (Benign or Malicious)
1,3c196f8e9cedda8faee5af55f8080af5,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
2,3c2c92e527bb55e5e706dfb8d940ea517a1af49c,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
3,3c3edc292e4d32b917993ae5fe523e66,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
4,3c5b9883cdc3677f3ea7d653514a58c6,MD5,61/76,3c5b9883cdc3677f3ea7d653514a58c6,fb70e80696dd0a5db3b8e9efb3b2bef87f871a57,d3b1052bb826856a20b2fa86ac9e5ca6c2321bf2d0cce7a6953c4b88ec47ba33,Win32 EXE,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows",13/06/2024 8:42,N/A,13/06/2024 15:21,13/06/2024 11:16,26/06/2024 23:34,28/01/2025 12:39,Pinnacle69346885873.exe,d3b1052bb826856a20b2fa86ac9e5ca6c2321bf2d0cce7a6953c4b88ec47ba33.exe,kends v2.exe,Malicious
5,3c61a2ac4276155094ff7f77d1d6400197ff2d93,SHA1,Jan-76,831b3ebad92039d1de7fec28e1bbf778,3c61a2ac4276155094ff7f77d1d6400197ff2d93,4698791decea6748d82a591eb519cff3ff178e5f168c2a9f4fe70468e267b369,ZIP,"Zip archive data, at least v2.0 to extract, compression method=deflate",N/A,N/A,N/A,27/04/2019 9:36,01/03/2025 2:18,11/03/2025 2:20,APT34.zip,e,APT34.itOtOgqY.zip.part,Malicious
6,3c6fd2d056ed6d09b0ac9d34de202353,MD5,61/76,3c6fd2d056ed6d09b0ac9d34de202353,a79a8b9c0092266e0388a6dc9941667ef208b233,b030a9aaa27be2c9db6c0f15e95626025f51430466b13a196908b1ec4172160c,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",19/06/1992 22:22,N/A,N/A,11/06/2024 14:13,28/06/2024 9:25,09/03/2025 2:59,b030a9aaa27be2c9db6c0f15e95626025f51430466b13a196908b1ec4172160c.exe,Set-up.exe,null,Malicious
7,3ce6c1f599dd930453ae0cfeffcef60d,MD5,63/76,3ce6c1f599dd930453ae0cfeffcef60d,12a5acbd7b8939090e443657cbc755e40d6f7903,1420b45b7ca1b037bc1e4c2653065fa46069dc3c7d271557c7f6f26801323b32,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",22/02/2023 0:16,N/A,16/06/2024 9:01,16/06/2024 7:34,17/06/2024 16:04,28/01/2025 12:55,1420b45b7ca1b037bc1e4c2653065fa46069dc3c7d271557c7f6f26801323b32.exe,null,null,Malicious
8,3ce6f5e9aee5a3f921d1a21144ae5b7b557dbfc7999f282adcc2fc522fc787bb,SHA256,0/76,d7431622d35dca1608834e0db5f07a74,188f60a7b28972649275c6872f18e5367b2d39aa,3ce6f5e9aee5a3f921d1a21144ae5b7b557dbfc7999f282adcc2fc522fc787bb,Win32 EXE,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows",01/01/1970 10:39,N/A,N/A,07/03/2017 18:07,26/11/2024 14:10,27/02/2025 4:55,3ce6f5e9aee5a3f921d1a21144ae5b7b557dbfc7999f282adcc2fc522fc787bb.exe,nad2bin.exe,benign_931.exe,Benign
9,3cefaa966d5e204fe6601160e7ba4d27910437bd1e83b8e0e9f2c4c3de210227,SHA256,0/76,50cbc0d02e0d9546c8e100fe4af7e98c,6afb114202a0f150377f1d1acc332a70aa1152a0,3cefaa966d5e204fe6601160e7ba4d27910437bd1e83b8e0e9f2c4c3de210227,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",11/02/2012 3:22,N/A,11/06/2020 13:11,29/06/2013 3:39,28/11/2024 6:00,28/11/2024 6:00,sqlmonitor,sqlmonitor.EXE,3cefaa966d5e204fe6601160e7ba4d27910437bd1e83b8e0e9f2c4c3de210227.exe,Benign
