ID,Hashes,Algorithms,VirusTotal,,,,Basic Properties,,,,History,,,,,"Names (top 3 names only, null if < 3 names)",,,
,,,Detection (sample: 4/69),Hash-MD5,Hash-SHA1,Hash-SHA256,File Type,Magic,Creation Time,Signature Date,First Seen in the Wild,First Submission,Last Submission,Last Analysis,Name1,Name2,Name3,Verdict (Benign or Malicious)
1,﻿000cb88afb22f843c6c51b3d4b7d6eaa,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
2,003851675800dc05cdac1baa84cab8f68534b244906d97ced0c40f50da27df0a,SHA256,0/75,c997318e5def9e2386a95f1763bf4cba,e67411eb77795983e96153e164b9d1905eefe70d,003851675800dc05cdac1baa84cab8f68534b244906d97ced0c40f50da27df0a,Win32 EXE,"PE32+ executable (GUI) x86-64, for MS Windows",1970-05-27 15:43:28,N/A,2017-05-12 20:26:33,2017-05-11 21:24:44,2025-02-09 05:55:59,2025-02-09 05:55:59,web-page.exe,003851675800dc05cdac1baa84cab8f68534b244906d97ced0c40f50da27df0a.exe,web-page,Benign
3,0045e134c5dd73497022ef73765d050056722be0,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
4,008d73236fd38666b9ff4b460ba17f24,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
5,009911c83890c20065bf19903cc3e354,MD5,58/75,009911c83890c20065bf19903cc3e354,e3bd84a8c0d6eb4458af84128253b921a2566119,84190ffd7bf746a33d14ba1daa4b242a351db1e77c9aa41f495faa19a98def04,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2078-08-13 16:18:33,N/A,N/A,2024-06-16 00:08:58,2024-06-18 19:31:15,2025-02-09 10:01:56,Stub.payload,84190.exe,84190ffd7bf746a33d14ba1daa4b242a351db1e77c9aa41f495faa19a98def04.exe,Malicious
6,00bacdabe2989f584a994c4ea349d8db,MD5,60/81,00bacdabe2989f584a994c4ea349d8db,922d88d76610834da87565d7b8754007a57fb143,24a91f8a98c24908d9d5292f0be7831e6b3cc0c955cbce9d3083032a6f9c6247,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed",2024-06-16 16:28:18,N/A,N/A,2024-06-17 02:09:50,2024-06-18 15:49:35,2025-02-21 19:02:38,24a91f8a98c24908d9d5292f0be7831e6b3cc0c955cbce9d3083032a6f9c6247.exe,W1403970622.exe,null,Malicious
7,013a3c1fd4001ae24acc0d8c874bf7509aadb223,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
8,01a38ae91ae28ca9dcc89790292ad106a3f5bf8c16318b7ac9c1e7ab4ca628d4,SHA256,0/76,a80365ae9d323bb8f00aa41715133017,a4e0189abdc1cca2b36d9331054a9d4e9618ffd6,01a38ae91ae28ca9dcc89790292ad106a3f5bf8c16318b7ac9c1e7ab4ca628d4,Win16 EXE,"MS-DOS executable, NE for MS Windows 3.x (EXE)",N/A,N/A,2013-08-24 12:15:56,2013-04-14 08:25:10,2024-11-28 06:08:43,2024-11-28 06:08:43,wpmmapi.exe,WPMMAPI.EXE,7lqsd.exe,Benign
9,01d6b97da53887390742d8ee9c980a2e,MD5,55/76,01d6b97da53887390742d8ee9c980a2e,fc026e3e70bdd0104d9ea32f75cf48704816c790,955701e22db690273e0b58ceed5dba69a98430886d5650efabe369736d8a1332,Win32 EXE,"PE32 executable (console) Intel 80386, for MS Windows",2087-09-09 05:27:14,N/A,N/A,2024-06-13 12:50:46,2024-06-17 18:15:30,2025-02-12 10:03:05,955701e22db690273e0b58ceed5dba69a98430886d5650efabe369736d8a1332.exe,01d6b97da53887390742d8ee9c980a2e.virus,null,Malicious
10,01f342c2201904ec19bbd8c5fc36d10c1c92c5cfdb4b3266dceb928f1d2efb97,SHA256,59/76,1b659577ee067b0221e6307b18410920,a6beba245eb711258ef905c94e38be364ebeb144,01f342c2201904ec19bbd8c5fc36d10c1c92c5cfdb4b3266dceb928f1d2efb97,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2024-06-14 05:02:52,N/A,2024-06-17 06:31:33,2024-06-14 07:24:44,2024-06-24 06:45:36,2025-02-15 19:01:53,CinY.exe,Payment List.exe,unknown,Malicious
